Distnict,City
Guji,Haro Walabu
Guji,Adola town
Guji,Gumi Idalo
Guji,Shakiso town
West Guji,Bule Hora
West Guji,Kercha
West Guji,Hambela Wamena
West Guji,Abaya
West Guji,Dugda Dawa
West Guji,Gelana (West Guji)
West Guji,Melka Soda
West Guji,"Bule Hora town, Oromia, Ethiopia"
West Guji,Suro Berguda
West Guji,Birbirsa Kojowa
Buno Bedele,Chora (Buno Bedele)
Buno Bedele,Dega
Buno Bedele,Dabo Hana
Buno Bedele,Gechi
Buno Bedele,Borecha
Buno Bedele,Dedesa
Buno Bedele,Meko
Buno Bedele,Bedele town
Buno Bedele,Bedele Zuria
Buno Bedele,Chwaka
West Arsi,Dodola town
West Arsi,Siraro
West Arsi,Shala
West Arsi,Arsi Negele
West Arsi,Kofele
West Arsi,Kore
West Arsi,Gedeb Asasa
West Arsi,Dodola
West Arsi,Kokosa
West Arsi,Nenesebo
West Arsi,Adaba
West Arsi,Shashemene town
West Arsi,Shashemene Zuria
West Arsi,Heban Arsi
West Arsi,Wondo
West Arsi,Bishan Guracha
West Arsi,Arsi Negele town
Kelem Wellega,Hawa Galan
Kelem Wellega,Yama Logi Welel
Kelem Wellega,Dale Wabera
Kelem Wellega,Gawo Kebe
Kelem Wellega,Sayo
Kelem Wellega,Denbi Dollo town
Kelem Wellega,Anfilo
Kelem Wellega,Dale Sadi
Kelem Wellega,Gidami
Kelem Wellega,Jimma Horo
Kelem Wellega,Lalo Kile
Kelem Wellega,Sedi Chenka
Horo Gudru Wellega,Horo
Horo Gudru Wellega,Shambu town
Horo Gudru Wellega,Guduru
Horo Gudru Wellega,Ababo
Horo Gudru Wellega,Abay Chomen
Horo Gudru Wellega,Jimma Genete
Horo Gudru Wellega,Jimma Rare
Horo Gudru Wellega,Jarte Jardega
Horo Gudru Wellega,Amuru
Horo Gudru Wellega,Abe Dongoro
Horo Gudru Wellega,Choman Guduru
Horo Gudru Wellega,Horo Buluk
Finfine Special,Burayu
Finfine Special,Lege Tafo-Lege Dadi town
Finfine Special,Sululta town
Finfine Special,Sebeta Hawas
Finfine Special,Dukem
Finfine Special,Sebeta town
Finfine Special,Bereh
Finfine Special,Akaki
